Sequence,Word,Meaning
207,million-dollar,百万美元
208,must,aux. 必须，一定；很可能；可以，应当
209,home,n. 家，住宅；家乡；产地；避难所
210,underage,adj. 未成年的
211,watercolor,n. 水彩画，水彩；水彩颜料
212,roommate,n. 室友
213,writer,n. 作家；作者
214,mother-in-law,岳母
215,area,n. 面积；区域，地区；范围
216,national,adj. 国家的；国民的；民族的；国立的
217,moniker,绰号
218,storybook,故事书
219,youngster,n. 年轻人；少年
220,faction,n. 派别；小集团；内讧；纪实小说
221,monthly,adj. 每月的，每月一次的；有效期为一个月的
222,differential,adj. 微分的；差别的；特异的
223,lotion,n. 洗液；洗涤剂
224,stuff,n. 材料；东西；填充物；素材资料
225,book,n. 书籍；帐簿；卷；名册；工作簿
226,eye,n. 眼睛；视力；见解，观点；眼光
227,jobless,adj. 失业的，无业的；（关于）失业者的
228,wording,n. 语法；用语；措辞
229,thought,n. 思想；关心；想法；思考
230,business,n. 商业；生意；交易；事情
231,issue,n. 流出；发行物；问题；期号
232,side-by-side,并排
233,kind,n. 种类；性质
234,head,n. 头；上端；最前的部分；头痛；理解力
235,far,adv. 很；到很远的距离；遥远地；到很深的程度；久远地
236,black,adj. 黑色的；黑人的；邪恶的
237,long,n. 长时间；长音节
238,both,adj. 两者的；两个的
239,little,adj. 小的；短暂的；很少的；小巧可爱的
240,house,n. 住宅；家庭；某种用途的建筑物；机构；议会
241,yesterday,n. 昨天；往昔
242,sincere,adj. 真诚的；诚挚的；真实的
243,provided,conj. 倘若；假如
244,serviceman,n. 军人；维修人员
245,around,adv. 到处；大约；在附近
246,friendliness,n. 亲切；友谊；亲密
247,importantly,adv. 重要地；大量地；有名望地；自命不凡地
248,father,n. 父亲，爸爸；神父；祖先；前辈
249,sit-up,仰卧起坐
250,away,adv. 离去，离开；在远处
251,untimely,adj. 不合时宜的；过早的
252,power,n. 能力；力量；功率；幂；势力；政权
253,hour-long,一小时
254,game,n. 游戏；比赛
255,oftentimes,通常
256,Yiddish,意第绪语
257,line,n. 绳；排；路线，航线
258,politically,adv. 政治上
259,end,n. 结束；末端；目标；死亡；尽头
260,among,prep. 在…中间；在…之中
261,ever-changing,不断变化
262,stand-alone,独立
263,bad,adj. 坏的；严重的；劣质的
264,loser,n. 失败者；遗失者
265,howl,vi. 怒吼；咆哮；狂吠
266,membership,n. 资格；成员资格；会员身分
267,pay,vt. 支付，付；偿还，补偿
268,law-abiding,守法
269,meet,vt. 遇见；满足；对付
270,car,n. 汽车；车厢
271,city,n. 城市，都市
272,almost,adv. 差不多，几乎
273,including,prep. 包含，包括
274,continue,vi. 仍旧，连续；继续，延续
275,setback,n. 挫折；逆流；退步
276,later,adv. 随后；稍后；后来
277,community,n. 社区；团体；共同体；群落
278,much-needed,急需的
279,name,n. 名称，名字；姓名；名誉
280,once,adv. 一次；曾经
281,white-collar,白领
282,least,adj. 最小的；最少的（little的最高级）
283,president-elect,当选总统
284,learned,adj. 博学的；有学问的；学术上的
285,real,adj. 真实的；实在的；实际的
286,change,vt. 改变；交换
287,teammate,n. 队友，同队队员
288,minute,n. 片刻，一会儿；分，分钟；备忘录，笔记；会议记录
289,best,n. 最好的人，最好的事物；最佳状态
290,severance,n. 断绝；分离；隔离；区别
291,ideal,adj. 理想的；完美的；想象的；不切实际的
292,kid,n. 小孩；小山羊
293,body,n. 身体；主体；团体；主要部分；大量
294,informational,adj. 情报的；报告的；新闻的
295,nothingness,虚无
296,ago,adv. 以前，以往
297,lead,n. 铅；领导；导线；榜样；石墨
298,socialism,n. 社会主义
299,understandable,adj. 可以理解的；可以了解的
300,which,pron. 哪/那一个；哪/那一些
301,watchdog,n. 看门狗；监察人；忠实的看守人
302,toil,n. 苦工；辛苦；网；圈套
303,follow-up,后续
304,parent-child,亲子
305,onset,n. 开始，着手；攻击，进攻；发作
306,stoplight,红绿灯
307,face,n. 脸；面容；表面；面子；威信；外观
308,anything,pron. 任何事
309,create,vt. 造成；创造，创作
310,public,adj. 公用的；公众的；公立的；政府的
311,already,adv. 已经，早已；先前
312,speaker,n. 扬声器；说话者；演讲者；说某种语言的人
313,otherwise,adv. 另外；在其他方面；否则
314,read,vt. 阅读；读懂，理解
315,level,n. 水平；水平面；标准
316,allow,vt. 允许；认可；给予
317,add,vi. 加；增加；加起来；做加法
318,officer,n. 军官，警官；公务员，政府官员；船长
319,spender,n. 挥金如土的人；挥霍者；用钱的人
320,door-to-door,挨家挨户
321,health-related,健康相关
322,persona,n. 人物角色；伪装的外表
323,art,n. 艺术；美术；艺术品
324,surely,adv. 稳当地；坚定地；无疑；[口]当然
325,war-torn,饱受战争蹂躏
326,hit,vt. 袭击；碰撞；打击；偶然发现；伤…的感情
327,party,n. 聚会，派对；政党，党派；[律]当事人
328,without,prep. 没有；在…外面；超过
329,grower,n. 栽培者；生长物
330,result,n. 结果；成绩；答案；比赛结果
331,open,adj. 营业着的；敞开的；空旷的；公开的；坦率的
332,Moroccan,adj. 摩洛哥的
333,walk-in,未预约
334,reason,n. 理由；理性；动机
335,low,adj. 低的，浅的；粗俗的；卑贱的；消沉的
336,win-win,双赢
337,research,n. 研究；调查
338,girlfriend,n. 女朋友
339,gym,n. 体育；体育馆；健身房
340,early,adj. 早期的；早熟的
341,foodstuff,n. 食品，食物；粮食，食料
342,momentarily,暂时
343,hind,adj. 后部的
344,air,n. 空气，大气；曲调；天空；样子
345,teacher-librarian,图书馆
346,force,n. 力量；武力；魄力；军队
347,offer,vt. 提供；试图；出价
348,enough,adv. 足够地，充足地
349,both,adj. 两者的；两个的
350,educational,adj. 教育的；有教育意义的
351,across,prep. 穿过；横穿
352,although,conj. 虽然，尽管
353,remembrance,n. 回想，回忆；纪念品；记忆力
354,foot,n. 脚；英尺；末尾；步调
355,second-class,二等
356,boy,n. 男孩；[美口]男人
357,mayhem,n. [法律]故意的伤害罪；重伤罪；蓄意的破坏
358,towards,prep. 朝，向；有助于；对于
359,able,adj. 能干的；有能力的；能
360,age,n. 年龄；时代；阶段；寿命，使用年限
361,policy-making,决策
362,everywhere,adv. 到处
363,love,n. 恋爱；酷爱；亲爱的；喜爱的事物
364,process,vt. 处理；加工
365,musical,adj. 音乐的；悦耳的
366,inclusion,n. 包含；内含物
367,consider,vt. 认为；考虑；细想；考虑到
368,appear,vi. 出现；似乎；显得；[法]出庭
369,actually,adv. 实际上；事实上
370,buy,vt. 购买；获得；贿赂
371,probation,n. 缓刑；试用；查验
372,human,adj. 人的；人类的
373,waiter,n. 服务员，侍者
374,serve,vt. 招待，供应；为…服务；对…有用；可作…用
375,market,n. 集市；市场；商店；销路；股票市场；行情；市面
376,die-hard,铁杆
377,sender,n. 发送人；发报机；寄件人
378,expectancy,n. 期望，期待
379,homecoming,n. 归国；省亲回家；同学会
380,senseless,adj. 无知觉的；无意识的；愚蠢的
381,build,vt. 建筑；建立
382,stay-at-home,全职
383,fall,vi. 落下；变成；来临；减弱
384,oil,n. 油；石油；油画颜料
385,nation-building,国家建设
386,plan,n. 平面图；计划
387,cut,n. 伤口；切口；削减；（服装等的）式样；[体育]削球；切入；vt. 切割；削减；缩短；刺痛；vi. 切割；相交；切牌；停拍；不出席；adj. 割下的；雕过的；缩减的
388,college,n. 学院；学会；大学
389,interest,n. 兴趣，爱好；利息；趣味；同行
390,death,n. 死；死亡；死神；毁灭
391,course,n. 进程；过程；道路；一道菜
392,someplace,adv. 在某处
393,experience,n. 经验；经历；体验
394,behind,prep. 支持；落后于；晚于
395,reach,vi. 达到；延伸；传开；伸出手
396,local,n. 当地居民；本地新闻；局部
397,kill,vt. 杀死；扼杀；使终止；抵消
398,remainder,n. 余数，残余；剩余物；其余的人
399,effect,n. 效果；作用；影响
400,year,n. 年；历年；年度
401,suggested,adj. 建议的；暗示的
402,class,n. 班级；阶级；种类
403,control,n. 控制；管理；抑制；操纵装置
404,raise,vt. 提高；筹集；养育；升起
405,care,n. 照料；忧虑；关怀；谨慎
406,peril,n. 危险；冒险
407,late,adj. 迟的；晚的；已故的；最近的
408,hard,adj. 困难的；硬的；猛烈的；确实的；努力的；辛苦的；冷酷无情的；严厉的
409,field,n. 领域；牧场；旷野；战场；运动场
410,elsewhere,adv. 在别处；到别处
411,pass,n. 及格；经过；护照；途径；[体]传球；vi. 经过；传递；变化；终止；vt. 通过；经过；传递
412,formerly,adv. 以前；原来
413,seller,n. 卖方，售货员
414,major,adj. 主要的；主修的；重要的；较多的
415,somewhat,n. 几分；某物
416,required,adj. 必需的；（美）必修的
417,along,adv. 向前；一起；来到
418,developmental,adj. 发展的；启发的
419,then,adv. 当时；然后；那么；于是；此外
420,report,n. 报告；报道；成绩单
421,role-playing,角色扮演
422,better,n. 较好者；打赌的人（等于bettor）；长辈
423,economical,adj. 经济的；节约的；合算的
424,effortless,adj. 容易的；不费力气的
425,decide,vt. 决定；判决；解决
426,rate,n. 比率，率；速度；等级；价格
427,stronghold,n. 要塞；大本营；中心地
428,possibly,adv. 可能地；大概；也许
429,heart-shaped,心形的
430,drug,n. 毒品；药；滞销货；麻醉药
431,leadership,n. 领导阶层；领导能力
432,light,n. 光，光亮；灯
433,void,adj. 空的；无效的；无人的
434,wig,n. 假发；要人；[俚]头脑
435,whole-wheat,全麦
436,police,n. 警察，警方；治安
437,mind,n. 智力；理智，精神；意见；记忆力
438,finance,n. 财政，财政学；金融
439,pull,vt. 拉；拖；拔
440,return,vt. 返回；报答；n. 返回；归还；回球；vi. 返回；报答；adj. 报答的；回程的；返回的
441,free,adj. 自由的，不受约束的；免费的；游离的
442,military,adj. 军事的；军人的；适于战争的
443,price,n. 价格；代价；价值
444,reported,adj. 报告的；据报道的
445,less,adv. 较少地；较小地；更小地
446,according,adj. 相符的
447,decision,n. 决定，决心；决议
448,explanation,n. 说明，解释；辩解
449,son-in-law,女婿
450,hope,n. 希望；信心；期望
451,developed,adj. 发达的（国家或地区）；成熟的
452,viewer,n. 电视观众；观看者；观察者；指示器
453,relative,adj. 相对的；有关系的；成比例的
454,carry,vt. 拿，扛；搬运；携带；支持
455,townhouse,联排别墅
456,roadblock,n. 路障；障碍物
457,drive,vi. 开车；猛击；飞跑
458,arm,n. 手臂；袖子；武器；装备
459,TRUE,adj. 真实的；正确的
460,federalism,n. 联邦主义；联邦制
461,break,n. 休息，中断；破裂处
462,different,adj. 不同的；个别的，与众不同的
463,thank-you,感谢
464,received,adj. 被认为标准的；被一般承认的
465,value-added,增值
466,internationally,adv. 国际性地；在国际间
467,building,n. 建筑；建筑物
468,action,n. 行动；活动；功能；情节；战斗
469,full,adj. 完全的，完整的；满的，充满的；丰满的；丰富的；详尽的；完美的
470,model,n. 模型；模范；模特儿；典型；样式
471,joint,n. 关节；接合处，接合点；接缝；（牛，羊等的腿）大块肉
472,seasonal,adj. 季节的；周期性的；依照季节的
473,sociological,adj. 社会学的；针对社会问题的；社会的（等于sociologic）
474,tax-exempt,免税
475,directory,n. 目录；工商名录；姓名地址录
476,early-morning,清晨
477,position,n. 位置，方位；职位，工作；姿态；站位；vt. 安置；把……放在适当位置
478,playful,adj. 爱嬉戏的；开玩笑的；幽默的
479,agree,vt. 同意；赞成；承认
480,espionage,n. 间谍活动；间谍；刺探
481,record,vt. 记录，记载；将...录音；标明
482,pick,vi. 挑选；采摘；挖；vt. 拾取；精选；采摘；掘；n. 选择；鹤嘴锄；挖；[篮球]掩护
483,wearer,n. 佩带者；穿用者
484,paperback,n. 平装本；廉价本
485,specialist,n. 专家；专门医师
486,space-time,时空
487,ground,n. 地面；土地；范围；战场
488,form,n. 形式，形状；形态，外形；表格；方式
489,supporter,n. 支持者；拥护者
490,eventual,adj. 最后的，结果的；终于的；可能的
491,official,adj. 正式的；官方的；公务的
492,why,int. 哎呀！什么？
493,matter,n. 物质；事件；原因
494,everything,pron. 每件事物；一切事物
495,center,n. 中心，中央；中心点；中锋
496,couple,n. 数个；对；夫妇
497,sitter,n. 代人临时看管小孩的人；当模特儿的人；坐着的人
498,endanger,vt. 危及；使遭到危险
499,project,vi. 设计；表达；计划；投射
500,base,n. 底部；垒；基础
501,activity,n. 活动；活跃；行动
502,starboard,n. 右舷
503,tableau,n. 画面；活人画；戏剧性局面；生动的场面（复数tableaux）
504,needle,n. 针；指针；针状物；刺激
505,court,n. 法院；朝廷；球场；奉承
506,produce,vt. 生产；引起；创作
507,eater,n. 食者
508,teacher,n. 教师；导师
509,half,n. 一半；半场；半学年
510,situational,adj. 环境形成的；情形的
511,easy,adj. 容易的；舒适的
512,cost,vt. 花费；使付出；使花许多钱
513,ineffective,adj. 无效的，失效的；不起作用的
514,figure,n. 图形；数字；（人的）体形；人物；画像；价格
515,face-lift,翻新
516,streetcar,n. 有轨电车
517,image,n. 影像；肖像；想象；偶像
518,ivory,n. 象牙；乳白色；长牙
519,phone,n. 电话；耳机，听筒
520,either,adj. 两者之中任一的；两者之中每一的
521,data,n. 资料；数据（datum的复数）
522,cover,vt. 包括；涉及；采访，报导
523,quiver,n. 箭袋；颤抖；震动
524,picture,n. 照片，图画；景色；影片；化身
525,clear,adj. 清楚的；清澈的；晴朗的；无罪的
526,practice,n. 练习；实践；惯例
527,piece,n. 件；篇；块；硬币
528,land,n. 陆地；地面；国土
529,recently,adv. 最近；新近
530,description,n. 描述，描写；说明书；类型
531,production,n. 成果；产品；生产；作品
532,doctoral,adj. 博士的；博士学位的；有博士学位的
533,walled,adj. 有城墙的
534,patient,adj. 有耐性的，能容忍的
535,workforce,n. 劳动力；工人总数，职工总数
536,newscast,n. 新闻广播
537,test-retest,两次试验
538,moviegoer,电影粉
539,certain,adj. 某一；确信；无疑的；有把握的；必然的
540,northeast,adj. 东北的；来自东北的；向东北的
541,loved,v. 热爱（love的过去分词）
542,personality,n. 品格；个性；名人
543,simulate,vt. 模仿；假装；冒充
544,third-generation,第三代
545,teddy,n. 连衫衬裤；泰迪玩具熊
546,catch,vt. 赶上；抓住；感染；了解
547,step-by-step,循序渐进
548,baby,n. 婴儿，婴孩；孩子气的人
549,computer,n. 电脑；计算机；电子计算机
550,typewriter,n. 打字机
551,attention,n. 注意力；关心；立正！（口令）
552,draw,vt. 画；拉；吸引
553,film,n. 胶卷；电影；薄膜；轻烟
554,republican,adj. 共和国的；共和政体的；共和主义的；拥护共和政体的
555,tree-lined,绿树成荫
556,south,n. 南方，南边；南部
557,red-haired,红发
558,neat,adj. 整洁的；未搀水的；优雅的；灵巧的；齐整的；平滑的
559,organizational,adj. 组织的；编制的
560,choose,vt. 选择，决定
561,cause,n. 原因；事业；目标
562,haircut,n. 理发；发型
563,look-alike,类似的
564,pointed,adj. 尖的；锐利的；突出的；率直的
565,century,n. 世纪，百年；（板球）一百分
566,evidence,n. 证据，证明；迹象；明显
567,windowless,没有窗户的
568,difficulty,n. 困难，困境
569,listener,n. 听众
570,soot,n. 煤烟，烟灰
571,culture,n. 文化，文明；修养；栽培
572,billion,n. 十亿；大量
573,chance,n. 可能性；机会，际遇；运气，侥幸
574,brother,n. 兄弟；战友；同事
575,energy-efficient,节能
576,periodic,adj. 周期的；定期的
577,summertime,n. 夏季
578,lessen,vt. 使…变小；使…减轻；使…变少
579,really,adv. 实际上，事实上；真正地，真实地；真的吗？（表语气）
580,Hungarian,adj. 匈牙利的；匈牙利语的
581,available,adj. 可利用的；有效的，可得的；空闲的
582,plant,n. 工厂，车间；植物；庄稼；设备
583,likely,adj. 很可能的；合适的；有希望的
584,oppose,vt. 反对；对抗，抗争
585,terminal,n. 终端机；终点；末端；极限
586,short-lived,短暂的
587,lettering,n. 印字；刻字；书写的文字
588,condition,n. 条件；情况；环境；身分
589,choice,n. 选择；选择权；精选品
590,placebo,n. 安慰剂；为死者所诵的晚祷词
591,single-family,独栋
592,rule,vi. 统治；裁定；管辖
593,daughter,n. 女儿；子代
594,administration,n. 管理；行政；行政机构；实施
595,southeast,adj. 东南的；来自东南的
596,hush,vt. 安静；缄默；肃静
597,Congress,n. 国会；会议；代表大会；社交
598,floor,n. 地板，地面；楼层；基底；议员席
599,campaign,vi. 作战；参加活动；参加竞选
600,material,adj. 物质的，实质性的；重要的；肉体的
601,populism,民粹主义
602,ecosystem,n. 生态系统
603,medically,adv. 医学上地；医药上地
604,hospitality,n. 殷勤；好客
605,church,n. 教堂；礼拜；教派
606,close,adj. 亲密的；亲近的；紧密的
607,thrash,vt. 打；使逆行
608,risk,n. 危险；风险；冒险
609,current,adj. 现在的；最近的；草写的；流通的，通用的
610,fire,n. 火；火灾；炉火；热情；炮火；激情；磨难
611,future,n. 未来；期货；前途；将来时
612,wrongdoing,不当行为
613,involved,adj. 卷入的；有关的；复杂的
614,defense,n. 防卫，防护；防御措施；防守；vt. 谋划抵御
615,anyone,pron. 任何人；任何一个
616,increase,n. 增加，增长；提高
617,sedan,n. [美]轿车；轿子
618,bank,n. 银行；岸；储库；浅滩
619,mysterious,adj. 神秘的；不可思议的；难解的
620,certainly,adv. 当然；必定；行（用于回答）
621,western,adj. 西方的，西部的；有西方特征的
622,sporting,adj. 运动的；冒险性的；公正的；喜好运动的
623,board,n. 木板；甲板；膳食；董事会
624,seeker,n. 探求者；[法]搜查人
625,per,prep. 每；每一；经；按照
626,subjective,adj. 主观的；个人的；自觉的
627,private,adj. 私人的；私有的；私下的
628,rest,vt. 使休息，使轻松；把…寄托于
629,behavior,n. 行为，举止；态度；反应
630,deal,vt. 发牌；处理；给予；分配
631,performer,n. 演奏者；执行者
632,fight,vi. 打架；打仗；搏斗，斗争
633,throwback,（俚）复古队服
634,top-down,自顶向下
635,quickness,n. 急速，迅速；尖锐化
636,past,n. 过去；往事
637,goalie,n. 守门员（等于goalkeeper）
638,bed,n. 床；基础；河底， 海底
639,order,n. 命令；顺序；定单；规则
640,author,n. 作者；作家；创始人
641,fill,vt. 装满，使充满；满足；堵塞；任职
642,representation,n. 表现；陈述；表示法；代表
643,focus,n. 焦点；焦距；清晰；中心
644,foreign-born,国外出生的
645,drop,vt. 滴；使降低；随口漏出；使终止
646,plane,n. 平面；飞机；程度，水平
647,blood,n. 血，血液；血统
648,upper,adj. 上面的，上部的；较高的
649,agency,n. 代理，中介；代理处，经销处
650,push,vt. 推动；推行；逼迫；增加
651,naughty,adj. 顽皮的，淘气的；不听话的；没规矩的；不适当的；下流的
652,color,n. 颜色；脸色；肤色；颜料
653,receptacle,n. 容器；[电工]插座；[植]花托
654,store-bought,店里买的
655,reduced,adj. 减少的；简化的；缩减的
656,soundbite,一小段话
657,note,n. 笔记；注解；便笺；照会；音符；调子；票据；纸币
658,fine,adj. 好的；优良的；晴朗的；健康的；细小的，精美的
659,near,adj. 近的；近似的；亲近的
660,mover,n. 鼓动者；原动力；搬运公司；搬家工人
661,pageant,n. 盛会；虚饰；游行；露天表演
662,enterprise,n. 企业；事业；进取心；事业心
663,shared,adj. 共享的
664,common,adj. 普通的；共同的；通常的；一般的
665,poorly,adv. 贫穷地；贫乏地；不充分地
666,naturalism,n. 自然主义；本能行动；自然论
667,race,n. 种族，人种；家庭，门弟；属，种
668,concern,vt. 涉及，关系到；使担心
669,serious,adj. 严肃的，严重的；认真的；庄重的；危急的
670,significantly,adv. 值得注目地；意味深长地
671,similarity,n. 类似；相似点
672,hotbed,n. 滋长地，温床
673,languid,adj. 呆滞的；倦怠的；软弱无力的
674,eager,adj. 渴望的；热心的；热切的
675,usurp,vt. 篡夺；夺取；侵占
676,response,n. 响应；反应；回答
677,dead,adj. 无生命的；废弃了的；呆板的
678,rise,vi. 上升；起立；高耸；增强
679,animal,n. 动物
680,factor,n. 因素；因数；要素；代理人
681,decade,n. 十年，十年期；十
682,article,n. 物品；文章；冠词；条款
683,shooter,n. 射手；枪炮
684,East-West,东西方
